"horizonte","data","previsto","limite_inferior","limite_superior"
1,NA,5.28776486651465,-5.64454251956632,16.2200722525956
2,NA,5.72155707411891,-5.38548967265597,16.8286038208938
3,NA,5.72155707411891,-5.41082080126128,16.8539349494991
4,NA,5.72155707411891,-5.43609442095237,16.8792085691902
5,NA,5.72155707411891,-5.46131092164489,16.9044250698827
6,NA,5.72155707411891,-5.48647068886822,16.929584837106
7,NA,5.72155707411891,-5.5115741038342,16.954688252072
8,NA,5.72155707411891,-5.53662154350455,16.9797356917424
9,NA,5.72155707411891,-5.56161338065692,17.0047275288947
10,NA,5.72155707411891,-5.58654998394957,17.0296641321874
